Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"LED Ring","for lighting",1,0.50,"https://robu.in/product/8bit-ws2812-5050-rgb-led-built-full-color-driving-lights-circular-development-board/","Robu"
"6-axis IMU MPU6886","Gyro & Accelerometer ",1,9.80,"https://robu.in/product/m5stack-6-axis-imu-unit-mpu6886/","Robu"
"NEO M8N","GPS co-ordinates",1,10.00,"https://robu.in/product/apm2-5-ublox-neo-m8n-gps-module-gygpsv1-8m-3-5v-gygpsv5-neo-pixhawk-apm-ceramic-active-antenna/","Robu"
"MicroSD Card Module","SD card module",1,0.20,"https://www.robu.in/product/mini-micro-sd-card-reader-module/","Robu"
"3.7v 2500mah Battery","Battery",1,6.50,"https://robu.in/product/wly104050-2500mah-3-7v-single-cell-rechargeable-lipo-battery/","Robu"
"PCB","PCB",1,10.00,"https://robu.in/","Robu"
"XIAO SAMD21","Microcontroller",1,8.00,"https://robu.in/product/seeedstudio-seeeduino-xiao-pre-soldered/","Robu"
